episode_hash,split,task,opened,first_frame_decoded,frame_count,width,height,fps
2026-04-19-06-36-25-464137,train,fold_black_t-shirt,True,True,308,640,360,30.0
2026-04-20-08-53-35-118759,train,fold_black_t-shirt,True,True,750,640,360,30.0
2026-05-25-06-44-39-054451,train,fold_black_t-shirt,True,True,903,640,360,30.0
2026-06-05-10-05-33-518344,train,fold_black_t-shirt,True,True,340,640,360,30.0
2026-04-02-08-27-46-365278,train,fold_blue_jeans,True,True,600,640,360,30.0
2026-04-02-15-28-35-589110,train,fold_blue_jeans,True,True,507,640,360,30.0
2026-04-04-09-17-37-706737,train,fold_blue_jeans,True,True,277,640,360,30.0
2026-04-05-07-52-56-999647,train,fold_blue_jeans,True,True,487,640,360,30.0
2026-04-18-14-35-01-310294,train,fold_clothes,True,True,199,640,360,30.0
2026-05-14-08-45-59-769080,train,fold_clothes,True,True,410,640,360,30.0
2026-06-13-01-56-05-579546,train,fold_clothes,True,True,336,640,360,30.0
2026-06-19-05-11-08-295468,train,fold_clothes,True,True,377,640,360,30.0
2026-04-17-06-44-29-030059,train,fold_laundry,True,True,199,640,360,30.0
2026-05-13-17-59-52-009489,train,fold_laundry,True,True,235,640,360,30.0
2026-06-15-10-29-11-525196,train,fold_laundry,True,True,221,640,360,30.0
2026-06-21-09-51-27-158299,train,fold_laundry,True,True,220,640,360,30.0
2026-04-02-14-09-30-174105,train,fold_shirt,True,True,586,640,360,30.0
2026-04-05-00-15-53-595801,train,fold_shirt,True,True,557,640,360,30.0
2026-04-09-10-13-40-246515,train,fold_shirt,True,True,152,640,360,30.0
2026-05-20-07-27-54-641482,train,fold_shirt,True,True,411,640,360,30.0
2026-04-07-09-46-38-426556,train,fold_white_shirt,True,True,762,640,360,30.0
2026-04-10-20-33-28-456857,train,fold_white_shirt,True,True,201,640,360,30.0
2026-05-25-06-38-31-620479,train,fold_white_shirt,True,True,464,640,360,30.0
2026-05-25-07-17-02-948101,train,fold_white_shirt,True,True,410,640,360,30.0
2026-04-08-13-17-32-861101,val,fold_black_t-shirt,True,True,511,640,360,30.0
2026-04-01-10-36-40-877065,val,fold_blue_jeans,True,True,1253,640,360,30.0
2026-06-08-21-17-22-338830,val,fold_clothes,True,True,159,640,360,30.0
2026-06-18-16-14-41-695450,val,fold_laundry,True,True,468,640,360,30.0
2026-04-08-18-03-38-793824,val,fold_shirt,True,True,436,640,360,30.0
2026-04-01-14-01-43-774948,val,fold_white_shirt,True,True,180,640,360,30.0
