episode_hash,status,error,width,height,fps,decoded_frame_count,first_frame_ok,last_frame_ok,split,task,num_frames
2026-04-19-06-36-25-464137,ok,,640,360,30.0,308,True,True,train,fold_black_t-shirt,308.0
2026-04-20-08-53-35-118759,ok,,640,360,30.0,750,True,True,train,fold_black_t-shirt,750.0
2026-05-25-06-44-39-054451,ok,,640,360,30.0,903,True,True,train,fold_black_t-shirt,903.0
2026-06-05-10-05-33-518344,ok,,640,360,30.0,340,True,True,train,fold_black_t-shirt,340.0
2026-04-02-08-27-46-365278,ok,,640,360,30.0,600,True,True,train,fold_blue_jeans,600.0
2026-04-02-15-28-35-589110,ok,,640,360,30.0,507,True,True,train,fold_blue_jeans,507.0
2026-04-04-09-17-37-706737,ok,,640,360,30.0,277,True,True,train,fold_blue_jeans,277.0
2026-04-05-07-52-56-999647,ok,,640,360,30.0,487,True,True,train,fold_blue_jeans,487.0
2026-04-18-14-35-01-310294,ok,,640,360,30.0,199,True,True,train,fold_clothes,199.0
2026-05-14-08-45-59-769080,ok,,640,360,30.0,410,True,True,train,fold_clothes,410.0
2026-06-13-01-56-05-579546,ok,,640,360,30.0,336,True,True,train,fold_clothes,336.0
2026-06-19-05-11-08-295468,ok,,640,360,30.0,377,True,True,train,fold_clothes,377.0
2026-04-17-06-44-29-030059,ok,,640,360,30.0,199,True,True,train,fold_laundry,199.0
2026-05-13-17-59-52-009489,ok,,640,360,30.0,235,True,True,train,fold_laundry,235.0
2026-06-15-10-29-11-525196,ok,,640,360,30.0,221,True,True,train,fold_laundry,221.0
2026-06-21-09-51-27-158299,ok,,640,360,30.0,220,True,True,train,fold_laundry,220.0
2026-04-02-14-09-30-174105,ok,,640,360,30.0,586,True,True,train,fold_shirt,586.0
2026-04-05-00-15-53-595801,ok,,640,360,30.0,557,True,True,train,fold_shirt,557.0
2026-04-09-10-13-40-246515,ok,,640,360,30.0,152,True,True,train,fold_shirt,152.0
2026-05-20-07-27-54-641482,ok,,640,360,30.0,411,True,True,train,fold_shirt,411.0
2026-04-07-09-46-38-426556,ok,,640,360,30.0,762,True,True,train,fold_white_shirt,762.0
2026-04-10-20-33-28-456857,ok,,640,360,30.0,201,True,True,train,fold_white_shirt,201.0
2026-05-25-06-38-31-620479,ok,,640,360,30.0,464,True,True,train,fold_white_shirt,464.0
2026-05-25-07-17-02-948101,ok,,640,360,30.0,410,True,True,train,fold_white_shirt,410.0
2026-04-08-13-17-32-861101,ok,,640,360,30.0,511,True,True,val,fold_black_t-shirt,511.0
2026-04-01-10-36-40-877065,ok,,640,360,30.0,1253,True,True,val,fold_blue_jeans,1253.0
2026-06-08-21-17-22-338830,ok,,640,360,30.0,159,True,True,val,fold_clothes,159.0
2026-06-18-16-14-41-695450,ok,,640,360,30.0,468,True,True,val,fold_laundry,468.0
2026-04-08-18-03-38-793824,ok,,640,360,30.0,436,True,True,val,fold_shirt,436.0
2026-04-01-14-01-43-774948,ok,,640,360,30.0,180,True,True,val,fold_white_shirt,180.0
