episode_id,suite,task_id,seed,arm,baseline_success,success,rescued,censored_without_success,first_success_attempt,full_rollout_revisions_to_success,within_successful_rollout_decisions,online_decisions_through_success_or_cap,actions_through_success_or_cap,rollout_seconds_through_success_or_cap,standalone_velocity_evaluations_through_success_or_cap,provider_through_success_or_cap,complete_tokens_to_success,physical_provider,development_extra_rollouts_after_success,success_by_attempt,winning_attempt_effects
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,19,random_noise,False,False,False,True,,,,0,900,99.02615874400362,3090,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,19,random_occlusion,False,False,False,True,,,,24,900,98.91645401297137,3090,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,19,random_demo_blend,False,False,False,True,,,,24,900,99.1580423831474,3090,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,19,astra_occlusion,False,False,False,True,,,,24,900,432.85298223188147,3090,"{""accepted_proposals"": 24, ""actual_models"": {""azure/openai/gpt-6-astra"": 24}, ""client_attempts"": 24, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {""200"": 24}, ""latency_seconds"": 262.8644684050232, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 24, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 600824}, ""output_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 6436}, ""reasoning_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 857}, ""total_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 607260}}, ""usage_available_calls"": 24, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 24, ""actual_models"": {""azure/openai/gpt-6-astra"": 24}, ""client_attempts"": 24, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {""200"": 24}, ""latency_seconds"": 262.8644684050232, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 24, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 600824}, ""output_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 6436}, ""reasoning_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 857}, ""total_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 607260}}, ""usage_available_calls"": 24, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,19,astra_demo_blend,False,False,False,True,,,,24,900,510.856137834955,3090,"{""accepted_proposals"": 24, ""actual_models"": {""azure/openai/gpt-6-astra"": 24}, ""client_attempts"": 24, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {""200"": 24}, ""latency_seconds"": 305.44953065831214, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 24, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 606088}, ""output_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 7375}, ""reasoning_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 1033}, ""total_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 613463}}, ""usage_available_calls"": 24, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 24, ""actual_models"": {""azure/openai/gpt-6-astra"": 24}, ""client_attempts"": 24, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {""200"": 24}, ""latency_seconds"": 305.44953065831214, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 24, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 606088}, ""output_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 7375}, ""reasoning_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 1033}, ""total_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 613463}}, ""usage_available_calls"": 24, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,19,random_noise,False,False,False,True,,,,0,900,97.92637399499654,3090,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,19,random_occlusion,False,False,False,True,,,,24,900,97.80293097799586,3090,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,19,random_demo_blend,False,False,False,True,,,,24,900,97.91951477099792,3090,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,19,astra_occlusion,False,True,True,False,2,1,4,4,398,100.55426901500323,2090,"{""accepted_proposals"": 4, ""actual_models"": {""azure/openai/gpt-6-astra"": 4}, ""client_attempts"": 4, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {""200"": 4}, ""latency_seconds"": 35.19211793901923, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 4, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 4, ""complete"": true, ""missing_calls"": 0, ""sum"": 86322}, ""output_tokens"": {""available_calls"": 4, ""complete"": true, ""missing_calls"": 0, ""sum"": 903}, ""reasoning_tokens"": {""available_calls"": 4, ""complete"": true, ""missing_calls"": 0, ""sum"": 77}, ""total_tokens"": {""available_calls"": 4, ""complete"": true, ""missing_calls"": 0, ""sum"": 87225}}, ""usage_available_calls"": 4, ""usage_unavailable_calls"": 0}",87225,"{""accepted_proposals"": 4, ""actual_models"": {""azure/openai/gpt-6-astra"": 4}, ""client_attempts"": 4, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {""200"": 4}, ""latency_seconds"": 35.19211793901923, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 4, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 4, ""complete"": true, ""missing_calls"": 0, ""sum"": 86322}, ""output_tokens"": {""available_calls"": 4, ""complete"": true, ""missing_calls"": 0, ""sum"": 903}, ""reasoning_tokens"": {""available_calls"": 4, ""complete"": true, ""missing_calls"": 0, ""sum"": 77}, ""total_tokens"": {""available_calls"": 4, ""complete"": true, ""missing_calls"": 0, ""sum"": 87225}}, ""usage_available_calls"": 4, ""usage_unavailable_calls"": 0}",0,"[false, true, true]","{""accepted_decisions_executed"": 4, ""actions_executed"": 98, ""actions_with_accepted_decision"": 98, ""actions_with_changed_image"": 98, ""attempt_id"": ""astra_occlusion_2"", ""native_condition_fallback_actions"": 0}"
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,19,astra_demo_blend,False,False,False,True,,,,24,900,447.34103202399274,3090,"{""accepted_proposals"": 24, ""actual_models"": {""azure/openai/gpt-6-astra"": 24}, ""client_attempts"": 24, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {""200"": 24}, ""latency_seconds"": 286.757377440008, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 24, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 614159}, ""output_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 8718}, ""reasoning_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 1971}, ""total_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 622877}}, ""usage_available_calls"": 24, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 24, ""actual_models"": {""azure/openai/gpt-6-astra"": 24}, ""client_attempts"": 24, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {""200"": 24}, ""latency_seconds"": 286.757377440008, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 24, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 614159}, ""output_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 8718}, ""reasoning_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 1971}, ""total_tokens"": {""available_calls"": 24, ""complete"": true, ""missing_calls"": 0, ""sum"": 622877}}, ""usage_available_calls"": 24, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
libero_spatial_ood:seed19:task8:state0,libero_spatial_ood,8,19,random_noise,False,False,False,True,,,,0,900,98.87871168402489,3090,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",,"{""accepted_proposals"": 0, ""actual_models"": {}, ""client_attempts"": 0, ""errors"": {}, ""failed_calls"": 0, ""http_status"": {}, ""latency_seconds"": 0, ""monetary_cost"": null, ""monetary_cost_unavailable_reason"": ""No verified provider price was supplied."", ""preflight_errors"": {}, ""preflight_failures"": 0, ""preflight_latency_seconds"": 0, ""provider_calls"": 0, ""reasoning_tokens_are_subset_of_output_tokens"": true, ""tokens"": {""input_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""output_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""reasoning_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}, ""total_tokens"": {""available_calls"": 0, ""complete"": true, ""missing_calls"": 0, ""sum"": 0}}, ""usage_available_calls"": 0, ""usage_unavailable_calls"": 0}",0,"[false, false, false]",
