arm,attempt_budget_including_baseline,cases,successes,through_success_or_cap_provider_calls,through_success_or_cap_failed_provider_calls,through_success_or_cap_input_tokens,through_success_or_cap_input_tokens_missing_calls,through_success_or_cap_output_tokens,through_success_or_cap_output_tokens_missing_calls,through_success_or_cap_reasoning_tokens,through_success_or_cap_reasoning_tokens_missing_calls,through_success_or_cap_total_tokens,through_success_or_cap_total_tokens_missing_calls,actual_including_development_hooks_provider_calls,actual_including_development_hooks_failed_provider_calls,actual_including_development_hooks_input_tokens,actual_including_development_hooks_input_tokens_missing_calls,actual_including_development_hooks_output_tokens,actual_including_development_hooks_output_tokens_missing_calls,actual_including_development_hooks_reasoning_tokens,actual_including_development_hooks_reasoning_tokens_missing_calls,actual_including_development_hooks_total_tokens,actual_including_development_hooks_total_tokens_missing_calls
random_noise,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_noise,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_noise,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_noise,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_noise,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise_only,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise_only,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_only,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_only,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_only,5,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
language_only,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
language_only,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
language_only,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
language_only,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
language_only,5,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
vision_only,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vision_only,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
vision_only,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
vision_only,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
vision_only,5,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_language,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise_language,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_language,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_language,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_language,5,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_vision,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise_vision,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_vision,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_vision,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
noise_vision,5,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
language_vision,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
language_vision,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
language_vision,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
language_vision,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
language_vision,5,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
joint,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joint,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
joint,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
joint,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
joint,5,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2
