episode_id,arm,iteration_including_baseline,shared_baseline_attribution,rollout_executed,status,success,first_success_attempt,censored_after_attempt,actions_executed,velocity_evaluations,rollout_wall_seconds,proposal_seconds,provider_calls,cumulative_provider_calls,source_summary_sha256,input_tokens_sum,input_tokens_missing_calls,output_tokens_sum,output_tokens_missing_calls,reasoning_tokens_sum,reasoning_tokens_missing_calls,total_tokens_sum,total_tokens_missing_calls
libero_goal_ood:seed19:task0:state0,random_noise,1,True,True,budget_exhausted,False,,5,300,600,45.39830550295301,0,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,random_noise,2,False,True,budget_exhausted,False,,5,300,600,24.056759882951155,0.0006400109268724918,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,random_noise,3,False,True,budget_exhausted,False,,5,300,600,24.074434943962842,0.0005526409950107336,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,random_noise,4,False,True,budget_exhausted,False,,5,300,600,23.9483078639023,0.000619230093434453,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,random_noise,5,False,True,budget_exhausted,False,,5,300,600,23.752055380959064,0.000579529907554388,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,noise_only,1,True,True,budget_exhausted,False,,5,300,600,45.39830550295301,0,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,noise_only,2,False,True,budget_exhausted,False,,5,300,600,24.318772769067436,9.31851292704232,1,1,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3487,0,262,0,0,0,3749,0
libero_goal_ood:seed19:task0:state0,noise_only,3,False,True,budget_exhausted,False,,5,300,600,24.617433700012043,7.350946658058092,1,2,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3828,0,298,0,0,0,4126,0
libero_goal_ood:seed19:task0:state0,noise_only,4,False,True,budget_exhausted,False,,5,300,600,24.183676889864728,10.448732512071729,1,3,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4198,0,305,0,0,0,4503,0
libero_goal_ood:seed19:task0:state0,noise_only,5,False,True,budget_exhausted,False,,5,300,600,23.873100782046095,7.279517645947635,1,4,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4570,0,299,0,0,0,4869,0
libero_goal_ood:seed19:task0:state0,language_only,1,True,True,budget_exhausted,False,,5,300,600,45.39830550295301,0,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,language_only,2,False,True,budget_exhausted,False,,5,300,600,25.766174261225387,7.7902017089072615,1,1,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3410,0,218,0,0,0,3628,0
libero_goal_ood:seed19:task0:state0,language_only,3,False,True,budget_exhausted,False,,5,300,600,25.7196104710456,10.028962233802304,1,2,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3695,0,299,0,48,0,3994,0
libero_goal_ood:seed19:task0:state0,language_only,4,False,True,budget_exhausted,False,,5,300,600,25.27938823099248,7.0114422149490565,1,3,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4021,0,245,0,0,0,4266,0
libero_goal_ood:seed19:task0:state0,language_only,5,False,True,budget_exhausted,False,,5,300,600,25.518918307032436,12.65309278597124,1,4,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4319,0,352,0,105,0,4671,0
libero_goal_ood:seed19:task0:state0,vision_only,1,True,True,budget_exhausted,False,,5,300,600,45.39830550295301,0,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,vision_only,2,False,True,budget_exhausted,False,,5,300,600,24.15572542301379,6.4982067588716745,1,1,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3352,0,217,0,0,0,3569,0
libero_goal_ood:seed19:task0:state0,vision_only,3,False,True,budget_exhausted,False,,5,300,600,24.319322529016063,8.578195669921115,1,2,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3631,0,318,0,68,0,3949,0
libero_goal_ood:seed19:task0:state0,vision_only,4,False,False,proposal_error,False,,5,0,0,0.0,8.708505529211834,1,3,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3948,0,320,0,57,0,4268,0
libero_goal_ood:seed19:task0:state0,vision_only,5,False,True,budget_exhausted,False,,5,300,600,24.251317424001172,9.852265011984855,1,4,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4015,0,355,0,91,0,4370,0
