arm,attempt_budget_including_baseline,cases,successes,through_success_or_cap_provider_calls,through_success_or_cap_failed_provider_calls,through_success_or_cap_input_tokens,through_success_or_cap_input_tokens_missing_calls,through_success_or_cap_output_tokens,through_success_or_cap_output_tokens_missing_calls,through_success_or_cap_reasoning_tokens,through_success_or_cap_reasoning_tokens_missing_calls,through_success_or_cap_total_tokens,through_success_or_cap_total_tokens_missing_calls,actual_including_development_hooks_provider_calls,actual_including_development_hooks_failed_provider_calls,actual_including_development_hooks_input_tokens,actual_including_development_hooks_input_tokens_missing_calls,actual_including_development_hooks_output_tokens,actual_including_development_hooks_output_tokens_missing_calls,actual_including_development_hooks_reasoning_tokens,actual_including_development_hooks_reasoning_tokens_missing_calls,actual_including_development_hooks_total_tokens,actual_including_development_hooks_total_tokens_missing_calls
random_noise,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_noise,2,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_noise,3,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_noise,4,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_noise,5,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise_only,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise_only,2,20,8,12,0,41929,0,3243,0,0,0,45172,0,12,0,41929,0,3243,0,0,0,45172,0
noise_only,3,20,9,24,0,88042,0,6748,0,0,0,94790,0,24,0,88042,0,6748,0,0,0,94790,0
noise_only,4,20,9,35,0,134319,0,10207,0,0,0,144526,0,35,0,134319,0,10207,0,0,0,144526,0
noise_only,5,20,9,46,0,184663,0,13553,0,51,0,198216,0,46,0,184663,0,13553,0,51,0,198216,0
language_only,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
language_only,2,20,9,12,1,41020,0,2946,0,281,0,43966,0,12,1,41020,0,2946,0,281,0,43966,0
language_only,3,20,9,23,1,81594,0,6199,0,879,0,87793,0,23,1,81594,0,6199,0,879,0,87793,0
language_only,4,20,9,34,1,125563,0,9641,0,1720,0,135204,0,34,1,125563,0,9641,0,1720,0,135204,0
language_only,5,20,9,45,1,172879,0,13561,0,2868,0,186440,0,45,1,172879,0,13561,0,2868,0,186440,0
vision_only,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vision_only,2,20,9,12,0,40196,0,3220,0,487,0,43416,0,12,0,40196,0,3220,0,487,0,43416,0
vision_only,3,20,9,23,0,80384,0,6433,0,1042,0,86817,0,23,0,80384,0,6433,0,1042,0,86817,0
vision_only,4,20,9,34,1,123990,0,10367,0,2174,0,134357,0,34,1,123990,0,10367,0,2174,0,134357,0
vision_only,5,20,9,45,1,170882,0,14381,0,3285,0,185263,0,45,1,170882,0,14381,0,3285,0,185263,0
noise_language,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise_language,2,20,9,12,2,42771,0,3822,0,300,0,46593,0,12,2,42771,0,3822,0,300,0,46593,0
noise_language,3,20,9,23,2,85465,0,8019,0,993,0,93484,0,23,2,85465,0,8019,0,993,0,93484,0
noise_language,4,20,9,34,2,132578,0,12449,0,1703,0,145027,0,34,2,132578,0,12449,0,1703,0,145027,0
noise_language,5,20,9,45,2,184187,0,17204,0,2355,0,201391,0,45,2,184187,0,17204,0,2355,0,201391,0
noise_vision,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise_vision,2,20,8,12,1,41977,0,4370,0,741,0,46347,0,12,1,41977,0,4370,0,741,0,46347,0
noise_vision,3,20,8,24,1,88361,0,8870,0,1332,0,97231,0,24,1,88361,0,8870,0,1332,0,97231,0
noise_vision,4,20,9,36,2,139694,0,13521,0,1730,0,153215,0,36,2,139694,0,13521,0,1730,0,153215,0
noise_vision,5,20,10,47,2,190990,0,17969,0,2284,0,208959,0,47,2,190990,0,17969,0,2284,0,208959,0
language_vision,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
language_vision,2,20,8,12,0,41014,0,3563,0,436,0,44577,0,12,0,41014,0,3563,0,436,0,44577,0
language_vision,3,20,8,24,0,86125,0,7931,0,1502,0,94056,0,24,0,86125,0,7931,0,1502,0,94056,0
language_vision,4,20,9,36,0,135426,0,12518,0,2581,0,147944,0,36,0,135426,0,12518,0,2581,0,147944,0
language_vision,5,20,9,47,0,184584,0,16980,0,3845,0,201564,0,47,0,184584,0,16980,0,3845,0,201564,0
joint,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joint,2,20,8,12,0,42757,0,4472,0,458,0,47229,0,12,0,42757,0,4472,0,458,0,47229,0
joint,3,20,8,24,0,90569,0,10342,0,1948,0,100911,0,24,0,90569,0,10342,0,1948,0,100911,0
joint,4,20,8,36,0,143736,0,16250,0,3213,0,159986,0,36,0,143736,0,16250,0,3213,0,159986,0
joint,5,20,8,48,1,202388,0,22505,0,4489,0,224893,0,48,1,202388,0,22505,0,4489,0,224893,0
