scope,population,arm,attempt_cap,cases,comparison,both_succeed,astra_only_succeeds,random_only_succeeds,both_fail_within_budget,astra_only_episode_ids,random_only_episode_ids
pooled,all_prespecified_cases,noise_only,5,20,matched_basis_and_operator_prior_source,9,0,1,10,,libero_goal_ood:seed19:task6:state0
pooled,all_prespecified_cases,language_only,5,20,different_intervention_operator_and_proposal_source,9,0,1,10,,libero_spatial_ood:seed19:task8:state0
pooled,all_prespecified_cases,vision_only,5,20,different_intervention_operator_and_proposal_source,9,0,1,10,,libero_goal_ood:seed19:task6:state0
pooled,all_prespecified_cases,noise_language,5,20,different_intervention_operator_and_proposal_source,9,0,1,10,,libero_spatial_ood:seed19:task8:state0
pooled,all_prespecified_cases,noise_vision,5,20,different_intervention_operator_and_proposal_source,9,1,1,9,libero_spatial_ood:seed19:task2:state0,libero_goal_ood:seed19:task6:state0
pooled,all_prespecified_cases,language_vision,5,20,different_intervention_operator_and_proposal_source,9,0,1,10,,libero_spatial_ood:seed19:task8:state0
pooled,all_prespecified_cases,joint,5,20,different_intervention_operator_and_proposal_source,8,0,2,10,,libero_goal_ood:seed19:task6:state0;libero_spatial_ood:seed19:task8:state0
pooled,baseline_failed_cases_only,noise_only,5,12,matched_basis_and_operator_prior_source,1,0,1,10,,libero_goal_ood:seed19:task6:state0
pooled,baseline_failed_cases_only,language_only,5,12,different_intervention_operator_and_proposal_source,1,0,1,10,,libero_spatial_ood:seed19:task8:state0
pooled,baseline_failed_cases_only,vision_only,5,12,different_intervention_operator_and_proposal_source,1,0,1,10,,libero_goal_ood:seed19:task6:state0
pooled,baseline_failed_cases_only,noise_language,5,12,different_intervention_operator_and_proposal_source,1,0,1,10,,libero_spatial_ood:seed19:task8:state0
pooled,baseline_failed_cases_only,noise_vision,5,12,different_intervention_operator_and_proposal_source,1,1,1,9,libero_spatial_ood:seed19:task2:state0,libero_goal_ood:seed19:task6:state0
pooled,baseline_failed_cases_only,language_vision,5,12,different_intervention_operator_and_proposal_source,1,0,1,10,,libero_spatial_ood:seed19:task8:state0
pooled,baseline_failed_cases_only,joint,5,12,different_intervention_operator_and_proposal_source,0,0,2,10,,libero_goal_ood:seed19:task6:state0;libero_spatial_ood:seed19:task8:state0
libero_goal_ood,all_prespecified_cases,noise_only,5,10,matched_basis_and_operator_prior_source,5,0,1,4,,libero_goal_ood:seed19:task6:state0
libero_goal_ood,all_prespecified_cases,language_only,5,10,different_intervention_operator_and_proposal_source,6,0,0,4,,
libero_goal_ood,all_prespecified_cases,vision_only,5,10,different_intervention_operator_and_proposal_source,5,0,1,4,,libero_goal_ood:seed19:task6:state0
libero_goal_ood,all_prespecified_cases,noise_language,5,10,different_intervention_operator_and_proposal_source,6,0,0,4,,
libero_goal_ood,all_prespecified_cases,noise_vision,5,10,different_intervention_operator_and_proposal_source,5,0,1,4,,libero_goal_ood:seed19:task6:state0
libero_goal_ood,all_prespecified_cases,language_vision,5,10,different_intervention_operator_and_proposal_source,6,0,0,4,,
libero_goal_ood,all_prespecified_cases,joint,5,10,different_intervention_operator_and_proposal_source,5,0,1,4,,libero_goal_ood:seed19:task6:state0
libero_goal_ood,baseline_failed_cases_only,noise_only,5,5,matched_basis_and_operator_prior_source,0,0,1,4,,libero_goal_ood:seed19:task6:state0
libero_goal_ood,baseline_failed_cases_only,language_only,5,5,different_intervention_operator_and_proposal_source,1,0,0,4,,
libero_goal_ood,baseline_failed_cases_only,vision_only,5,5,different_intervention_operator_and_proposal_source,0,0,1,4,,libero_goal_ood:seed19:task6:state0
libero_goal_ood,baseline_failed_cases_only,noise_language,5,5,different_intervention_operator_and_proposal_source,1,0,0,4,,
libero_goal_ood,baseline_failed_cases_only,noise_vision,5,5,different_intervention_operator_and_proposal_source,0,0,1,4,,libero_goal_ood:seed19:task6:state0
libero_goal_ood,baseline_failed_cases_only,language_vision,5,5,different_intervention_operator_and_proposal_source,1,0,0,4,,
libero_goal_ood,baseline_failed_cases_only,joint,5,5,different_intervention_operator_and_proposal_source,0,0,1,4,,libero_goal_ood:seed19:task6:state0
libero_spatial_ood,all_prespecified_cases,noise_only,5,10,matched_basis_and_operator_prior_source,4,0,0,6,,
libero_spatial_ood,all_prespecified_cases,language_only,5,10,different_intervention_operator_and_proposal_source,3,0,1,6,,libero_spatial_ood:seed19:task8:state0
libero_spatial_ood,all_prespecified_cases,vision_only,5,10,different_intervention_operator_and_proposal_source,4,0,0,6,,
libero_spatial_ood,all_prespecified_cases,noise_language,5,10,different_intervention_operator_and_proposal_source,3,0,1,6,,libero_spatial_ood:seed19:task8:state0
libero_spatial_ood,all_prespecified_cases,noise_vision,5,10,different_intervention_operator_and_proposal_source,4,1,0,5,libero_spatial_ood:seed19:task2:state0,
libero_spatial_ood,all_prespecified_cases,language_vision,5,10,different_intervention_operator_and_proposal_source,3,0,1,6,,libero_spatial_ood:seed19:task8:state0
libero_spatial_ood,all_prespecified_cases,joint,5,10,different_intervention_operator_and_proposal_source,3,0,1,6,,libero_spatial_ood:seed19:task8:state0
libero_spatial_ood,baseline_failed_cases_only,noise_only,5,7,matched_basis_and_operator_prior_source,1,0,0,6,,
libero_spatial_ood,baseline_failed_cases_only,language_only,5,7,different_intervention_operator_and_proposal_source,0,0,1,6,,libero_spatial_ood:seed19:task8:state0
libero_spatial_ood,baseline_failed_cases_only,vision_only,5,7,different_intervention_operator_and_proposal_source,1,0,0,6,,
libero_spatial_ood,baseline_failed_cases_only,noise_language,5,7,different_intervention_operator_and_proposal_source,0,0,1,6,,libero_spatial_ood:seed19:task8:state0
libero_spatial_ood,baseline_failed_cases_only,noise_vision,5,7,different_intervention_operator_and_proposal_source,1,1,0,5,libero_spatial_ood:seed19:task2:state0,
libero_spatial_ood,baseline_failed_cases_only,language_vision,5,7,different_intervention_operator_and_proposal_source,0,0,1,6,,libero_spatial_ood:seed19:task8:state0
libero_spatial_ood,baseline_failed_cases_only,joint,5,7,different_intervention_operator_and_proposal_source,0,0,1,6,,libero_spatial_ood:seed19:task8:state0
