scope,arm,cases,success_by_attempt_1,success_by_attempt_2,success_by_attempt_3,success_by_attempt_4,success_by_attempt_5,censored_cases,baseline_failed_cases,rescued_cases,median_rescue_revisions,rescue_arm_only_vs_random,rescue_random_only,provider_calls,provider_failed_calls,proposal_failures,observed_input_tokens,input_tokens_missing_calls,median_rescue_input_tokens,rescue_input_tokens_incomplete_cases,observed_output_tokens,output_tokens_missing_calls,median_rescue_output_tokens,rescue_output_tokens_incomplete_cases,observed_reasoning_tokens,reasoning_tokens_missing_calls,median_rescue_reasoning_tokens,rescue_reasoning_tokens_incomplete_cases,observed_total_tokens,total_tokens_missing_calls,median_rescue_total_tokens,rescue_total_tokens_incomplete_cases
pooled,random_noise,20,8,8,8,8,10,10,12,2,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
pooled,noise_only,20,8,8,9,9,9,11,12,1,2,0,1,46,0,0,184663,0,7338,0,13553,0,566,0,51,0,0,0,198216,0,7904,0
pooled,language_only,20,8,9,9,9,9,11,12,1,1,0,1,45,1,1,172879,0,3423,0,13561,0,234,0,2868,0,0,0,186440,0,3657,0
pooled,vision_only,20,8,9,9,9,9,11,12,1,1,0,1,45,1,1,170882,0,3353,0,14381,0,234,0,3285,0,0,0,185263,0,3587,0
pooled,noise_language,20,8,9,9,9,9,11,12,1,1,0,1,45,2,2,184187,0,3554,0,17204,0,287,0,2355,0,0,0,201391,0,3841,0
pooled,noise_vision,20,8,8,8,9,10,10,12,2,3.5,1,1,47,2,2,190990,0,14022.5,0,17969,0,1373.0,0,2284,0,181.5,0,208959,0,15395.5,0
pooled,language_vision,20,8,8,8,9,9,11,12,1,3,0,1,47,0,0,184584,0,11254,0,16980,0,1059,0,3845,0,262,0,201564,0,12313,0
pooled,joint,20,8,8,8,8,8,12,12,0,,0,2,48,1,1,202388,0,,0,22505,0,,0,4489,0,,0,224893,0,,0
libero_goal_ood,random_noise,10,5,5,5,5,6,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libero_goal_ood,noise_only,10,5,5,5,5,5,5,5,0,,0,1,20,0,0,80509,0,,0,5889,0,,0,51,0,,0,86398,0,,0
libero_goal_ood,language_only,10,5,6,6,6,6,4,5,1,1,0,0,17,0,0,65434,0,3423,0,4990,0,234,0,882,0,0,0,70424,0,3657,0
libero_goal_ood,vision_only,10,5,5,5,5,5,5,5,0,,0,1,20,1,1,76053,0,,0,6286,0,,0,1233,0,,0,82339,0,,0
libero_goal_ood,noise_language,10,5,6,6,6,6,4,5,1,1,0,0,17,1,1,69061,0,3554,0,6516,0,287,0,864,0,0,0,75577,0,3841,0
libero_goal_ood,noise_vision,10,5,5,5,5,5,5,5,0,,0,1,20,1,1,81302,0,,0,7767,0,,0,989,0,,0,89069,0,,0
libero_goal_ood,language_vision,10,5,5,5,6,6,4,5,1,3,0,0,19,0,0,74317,0,11254,0,6922,0,1059,0,1537,0,262,0,81239,0,12313,0
libero_goal_ood,joint,10,5,5,5,5,5,5,5,0,,0,1,20,0,0,84270,0,,0,9504,0,,0,1940,0,,0,93774,0,,0
libero_spatial_ood,random_noise,10,3,3,3,3,4,6,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libero_spatial_ood,noise_only,10,3,3,4,4,4,6,7,1,2,0,0,26,0,0,104154,0,7338,0,7664,0,566,0,0,0,0,0,111818,0,7904,0
libero_spatial_ood,language_only,10,3,3,3,3,3,7,7,0,,0,1,28,1,1,107445,0,,0,8571,0,,0,1986,0,,0,116016,0,,0
libero_spatial_ood,vision_only,10,3,4,4,4,4,6,7,1,1,0,0,25,0,0,94829,0,3353,0,8095,0,234,0,2052,0,0,0,102924,0,3587,0
libero_spatial_ood,noise_language,10,3,3,3,3,3,7,7,0,,0,1,28,1,1,115126,0,,0,10688,0,,0,1491,0,,0,125814,0,,0
libero_spatial_ood,noise_vision,10,3,3,3,4,5,5,7,2,3.5,1,0,27,1,1,109688,0,14022.5,0,10202,0,1373.0,0,1295,0,181.5,0,119890,0,15395.5,0
libero_spatial_ood,language_vision,10,3,3,3,3,3,7,7,0,,0,1,28,0,0,110267,0,,0,10058,0,,0,2308,0,,0,120325,0,,0
libero_spatial_ood,joint,10,3,3,3,3,3,7,7,0,,0,1,28,1,1,118118,0,,0,13001,0,,0,2549,0,,0,131119,0,,0
