analysis_method,episode_id,suite,task_id,initial_state_id,seed,success,actions,wall_seconds,velocity_evaluations,agent_calls,invalid_responses,retry_calls,fallbacks,completed_subgoals,failure,reset_state_sha256,protocol,task_action_budget,split,workflow,source_file_sha256,source_row_sha256,task_manifest_sha256,reset_model_sha256,repair_debugger_affects_wall_latency
baseline_euler10,libero_goal_ood:task0:state0,libero_goal_ood,0,0,7,False,300,16.77228993200697,600,0,0,0,0,0,,773f08d7590969699c6094221327a8665249ca64ccb56ace8312cd4e5232f221,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,e759328bf52950a1efd36c21e68ad98f7604b53f9be5e59283218bbd0123fa2d,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,87cc7943d6d92d986061707c276d2e7a8f4fafd95a5bcc6a5e2d03ffd0b1e130,False
baseline_euler10,libero_goal_ood:task0:state1,libero_goal_ood,0,1,7,False,300,16.656388945004437,600,0,0,0,0,0,,69218d2d2a2c235ad3eb9cdd5cfa8b2f3f8be157c3070868b00a0425eea8e7c6,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,159a7c3eed27c06b31e16c00f8eaac1c0fedc3f9bbafeca333e7a342e256e0e6,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,d0caff58198486de7859d2287ba6a300f2c4aad52623e910a316b1ce4629a1fb,False
baseline_euler10,libero_goal_ood:task0:state2,libero_goal_ood,0,2,7,False,300,16.720102733990643,600,0,0,0,0,0,,c3ec1ed72036d84e05d2614c8db3dd2acc1e2e75045dfca05554ab28e677c37b,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,0856cf0f5e18ce553d48a9c33ddf527e3f8893e777c802638db7514b5fa75465,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,f77f8701c11585809fef7f9d94b487a4f7367986aa7ff8bd13807f9f4fb0b83f,False
baseline_euler10,libero_goal_ood:task0:state3,libero_goal_ood,0,3,7,True,235,20.683230777271092,470,0,0,0,0,0,,22a7a9d5d51f9c7c69ec2dfe29b15376e11ceb2a48922e57cf32d924a2024d8a,released_modified_libero,300,test,astra-pi05-ood-baseline-repair-20260924-1,26d9254be5f209f04baef4593533cd98b3623e5b626881f3a278aa8a65cba812,41a9f2112214361eee4e42c10b47d73ba1f87a32339b94905a82ff0ac4fda75e,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,dc48145ea754d7dc0bbe6667a69e5ced9c796d4e06d72ae03d120dcf5f65a138,True
baseline_euler10,libero_goal_ood:task0:state4,libero_goal_ood,0,4,7,True,104,5.687649666971993,210,0,0,0,0,0,,06c0992cf47024abbc39330b456a4fbae6d15d374868af379c9b4ddfdff31d75,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,2c9c17637cf274c840a24a26e5bf136979f63ca146c50f9a7d397870286027ae,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,4b5f83a16029fe8737976074fb8cd28c482836062036deea065632d0c35f04b3,False
baseline_euler10,libero_goal_ood:task0:state5,libero_goal_ood,0,5,7,True,155,8.37389806000283,310,0,0,0,0,0,,f3be2bf1676453ead6d4a413585eb2489e54bec1597562f6383ed54bd5b4b924,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,bab1947d7b0cccae9a57b8f7ecbd1afc854b58389d0a7dd37602e0cf51d7a474,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,f847490c4731bc0caf879d6be84be694ac9f34c811d5b5388548e64e8618f793,False
baseline_euler10,libero_goal_ood:task0:state6,libero_goal_ood,0,6,7,False,300,16.397536446980666,600,0,0,0,0,0,,9f72fd5cb009e3b043bb387c236d4c92ae7410ec1776b7edccf0c75b3a866e1f,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,cc0b4105f4fe93ff39a57568b88fffb4dd76709aa5fd31fffdd52f675af577aa,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,8c095aef6c6be65e8dac0390e1793753bedd618a510fd84b4d705cc2a8d52d0c,False
baseline_euler10,libero_goal_ood:task0:state7,libero_goal_ood,0,7,7,True,182,14.399983186740428,370,0,0,0,0,0,,73092b903c0b342755cc2d9edd35a68309c958353622bda2b0914b7de12eaabd,released_modified_libero,300,test,astra-pi05-ood-baseline-repair-20260924-1,26d9254be5f209f04baef4593533cd98b3623e5b626881f3a278aa8a65cba812,f23e1db9723c67c5609fa1e422b864a96db8c9ffc634f8d822f9fe2960f51dc3,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,62bc5c61443bde832e8811328ae244ef36505aa5fa22af60cfb2f6b38172def3,True
baseline_euler10,libero_goal_ood:task0:state8,libero_goal_ood,0,8,7,False,300,16.588800519006327,600,0,0,0,0,0,,ed09e92e157d713dae781c699824106ffe9640a27207be3aeb5f1c019b16f97b,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,7328cfbeaae2099bdf76063bcc191f09d2c3e2eb76a3c69a0f9ea15c0594015c,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,f8d191df3741b798e02da273d179ac24b5413be551107e2a5f0072c248e07add,False
baseline_euler10,libero_goal_ood:task0:state9,libero_goal_ood,0,9,7,False,300,16.76827975298511,600,0,0,0,0,0,,3440d4830880a9d1e63c888e4dd8dcc3107a198fd65c183a2d8221fd3d9e3576,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,7d6c23d72f05134375129b7e7950267d464a8ed6259b93e4f52544a815fc3e04,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,71ce7c1b948295e352dadd8009eed36c2071f6b40741dfc0914adcd3567c9d03,False
baseline_euler10,libero_goal_ood:task1:state0,libero_goal_ood,1,0,7,True,76,4.330300229019485,160,0,0,0,0,0,,9f25523998bea7a394dc5ac25921fceab4c4dd3905f0eaab7f2343c8d8987637,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,e4b47f9ea467ec22ebc60dcdcf7761c9c3b373811e67487ecb3948a7154c9f50,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,a4bfdc5bd508e1d9cb7908190bf46fb47ca47630efb89499c92be9402ab8a5df,False
baseline_euler10,libero_goal_ood:task1:state1,libero_goal_ood,1,1,7,True,76,6.178611021023244,160,0,0,0,0,0,,437f9ed44fa71250a5ce437ad9244a79da728efbd6d23ef1140bd328f3183bfb,released_modified_libero,300,test,astra-pi05-ood-baseline-repair-20260924-1,26d9254be5f209f04baef4593533cd98b3623e5b626881f3a278aa8a65cba812,a4cc33b5f928790681e56c1d089f86522fa5202976189f95eefbe2c4e8fb0c93,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,390fccab78efba60149d4f9aebcc51e1ae7f1eb4e3619be95c2fd71a6eaf9098,True
baseline_euler10,libero_goal_ood:task1:state2,libero_goal_ood,1,2,7,True,79,4.387198406970128,160,0,0,0,0,0,,5c9442bda661901aec14eab647d17e7c4456cfeb4d595d2f7583a99200b5e7ea,released_modified_libero,300,test,astra-pi05-ood-baseline-20260924-1,af5d3b1dd04426222c35c01ab8cd48d9e12a577e6ccec8adec123a171b190e6c,812567c371a021bad7b255022f85c466fbeff6caef4efee8d0e744ac6f6f14d7,f9b51a9929093f8f50f6e4106ff0da562f66c287b8583c569d719fc7b8ffad5f,ad5619f902d3dd40735cc1f72edcfdd9be2be3bde9c9b2e2c217920f41acd95d,False
