episode_id,suite,task_id,arm,baseline_success,success,rescued,first_success_attempt,full_rollout_revisions_to_success,within_successful_rollout_decisions,decisions_through_success_or_cap,censored_without_success,development_extra_rollouts_after_success,prefix_total_tokens_reported,prefix_total_tokens_complete,reset_sha256
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,random_noise,False,False,False,,,,0,True,0,0,True,780421a98343bf129be26d1656dcd8a509eaf2254adc116b5ae04b2483f282b5
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,oracle_tei,False,True,True,2,1,0,0,False,0,0,True,780421a98343bf129be26d1656dcd8a509eaf2254adc116b5ae04b2483f282b5
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,oracle_tli,False,True,True,2,1,0,0,False,0,0,True,780421a98343bf129be26d1656dcd8a509eaf2254adc116b5ae04b2483f282b5
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,oracle_tei_tli,False,True,True,2,1,0,0,False,0,0,True,780421a98343bf129be26d1656dcd8a509eaf2254adc116b5ae04b2483f282b5
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,astra_tei,False,False,False,,,,24,True,0,201219,True,780421a98343bf129be26d1656dcd8a509eaf2254adc116b5ae04b2483f282b5
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,astra_tli,False,True,True,3,2,5,17,False,0,132062,True,780421a98343bf129be26d1656dcd8a509eaf2254adc116b5ae04b2483f282b5
libero_goal_ood:seed19:task6:state0,libero_goal_ood,6,astra_tli_vision,False,True,True,3,2,5,17,False,0,134638,True,780421a98343bf129be26d1656dcd8a509eaf2254adc116b5ae04b2483f282b5
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,random_noise,False,False,False,,,,0,True,0,0,True,8920834cc36587f1e34af91d76ac0b7406fcafed8f9dea496ffb74477ddfd847
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,oracle_tei,False,False,False,,,,0,True,0,0,True,8920834cc36587f1e34af91d76ac0b7406fcafed8f9dea496ffb74477ddfd847
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,oracle_tli,False,False,False,,,,0,True,0,0,True,8920834cc36587f1e34af91d76ac0b7406fcafed8f9dea496ffb74477ddfd847
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,oracle_tei_tli,False,False,False,,,,0,True,0,0,True,8920834cc36587f1e34af91d76ac0b7406fcafed8f9dea496ffb74477ddfd847
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,astra_tei,False,False,False,,,,24,True,0,200797,True,8920834cc36587f1e34af91d76ac0b7406fcafed8f9dea496ffb74477ddfd847
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,astra_tli,False,True,True,2,1,4,4,False,0,21929,True,8920834cc36587f1e34af91d76ac0b7406fcafed8f9dea496ffb74477ddfd847
libero_spatial_ood:seed19:task2:state0,libero_spatial_ood,2,astra_tli_vision,False,True,True,2,1,5,5,False,0,29281,True,8920834cc36587f1e34af91d76ac0b7406fcafed8f9dea496ffb74477ddfd847
libero_spatial_ood:seed19:task8:state0,libero_spatial_ood,8,random_noise,False,False,False,,,,0,True,0,0,True,7290c3dc46c2bfc9188c4a06d72bcc5f2d2de1d1a7d7fa7b40bae618d99701d5
libero_spatial_ood:seed19:task8:state0,libero_spatial_ood,8,oracle_tei,False,False,False,,,,0,True,0,0,True,7290c3dc46c2bfc9188c4a06d72bcc5f2d2de1d1a7d7fa7b40bae618d99701d5
libero_spatial_ood:seed19:task8:state0,libero_spatial_ood,8,oracle_tli,False,True,True,2,1,0,0,False,0,0,True,7290c3dc46c2bfc9188c4a06d72bcc5f2d2de1d1a7d7fa7b40bae618d99701d5
libero_spatial_ood:seed19:task8:state0,libero_spatial_ood,8,oracle_tei_tli,False,True,True,2,1,0,0,False,0,0,True,7290c3dc46c2bfc9188c4a06d72bcc5f2d2de1d1a7d7fa7b40bae618d99701d5
libero_spatial_ood:seed19:task8:state0,libero_spatial_ood,8,astra_tei,False,True,True,2,1,4,4,False,0,21668,True,7290c3dc46c2bfc9188c4a06d72bcc5f2d2de1d1a7d7fa7b40bae618d99701d5
libero_spatial_ood:seed19:task8:state0,libero_spatial_ood,8,astra_tli,False,True,True,2,1,5,5,False,0,28421,True,7290c3dc46c2bfc9188c4a06d72bcc5f2d2de1d1a7d7fa7b40bae618d99701d5
libero_spatial_ood:seed19:task8:state0,libero_spatial_ood,8,astra_tli_vision,False,True,True,2,1,5,5,False,0,29078,True,7290c3dc46c2bfc9188c4a06d72bcc5f2d2de1d1a7d7fa7b40bae618d99701d5
