phase,group,arm,attempt_cap,up_to_attempts,cases,successes,success_rate,rescues,baseline_failed_cases,conditional_rescue_rate,attributed_rollouts,attributed_actions,attributed_velocity_evaluations,provider_calls,preflight_failures,input_tokens,output_tokens,total_tokens,reasoning_tokens,total_token_missing_calls
development,pooled,random_noise,3,1,3,0,0.0,0,3,0.0,3,900,5640,0,0,0,0,0,0,0
development,pooled,random_noise,3,2,3,0,0.0,0,3,0.0,6,1800,7440,0,0,0,0,0,0,0
development,pooled,random_noise,3,3,3,0,0.0,0,3,0.0,9,2700,9240,0,0,0,0,0,0,0
development,pooled,oracle_tei,2,1,3,0,0.0,0,3,0.0,3,900,5640,0,0,0,0,0,0,0
development,pooled,oracle_tei,2,2,3,1,0.3333333333333333,1,3,0.3333333333333333,6,1580,7000,0,0,0,0,0,0,0
development,pooled,oracle_tli,2,1,3,0,0.0,0,3,0.0,3,900,5640,0,0,0,0,0,0,0
development,pooled,oracle_tli,2,2,3,2,0.6666666666666666,2,3,0.6666666666666666,6,1393,6640,0,0,0,0,0,0,0
development,pooled,oracle_tei_tli,2,1,3,0,0.0,0,3,0.0,3,900,5640,0,0,0,0,0,0,0
development,pooled,oracle_tei_tli,2,2,3,2,0.6666666666666666,2,3,0.6666666666666666,6,1394,6640,0,0,0,0,0,0,0
development,pooled,astra_tei,3,1,3,0,0.0,0,3,0.0,3,900,5640,0,0,0,0,0,0,0
development,pooled,astra_tei,3,2,3,1,0.3333333333333333,1,3,0.3333333333333333,6,1600,7040,28,0,174486,7497,181983,713,0
development,pooled,astra_tei,3,3,3,1,0.3333333333333333,1,3,0.3333333333333333,8,2200,8240,52,0,408921,14763,423684,1696,0
development,pooled,astra_tli,3,1,3,0,0.0,0,3,0.0,3,900,5640,0,0,0,0,0,0,0
development,pooled,astra_tli,3,2,3,2,0.6666666666666666,2,3,0.6666666666666666,6,1424,6690,21,0,127523,6188,133711,633,0
development,pooled,astra_tli,3,3,3,3,1.0,3,3,1.0,7,1528,6900,26,0,174600,7812,182412,776,0
development,pooled,astra_tli_vision,3,1,3,0,0.0,0,3,0.0,3,900,5640,0,0,0,0,0,0,0
development,pooled,astra_tli_vision,3,2,3,2,0.6666666666666666,2,3,0.6666666666666666,6,1403,6660,22,0,136138,7060,143198,859,0
development,pooled,astra_tli_vision,3,3,3,3,1.0,3,3,1.0,7,1507,6870,27,0,184223,8774,192997,979,0
development,libero_goal_ood,random_noise,3,1,1,0,0.0,0,1,0.0,1,300,1880,0,0,0,0,0,0,0
development,libero_goal_ood,random_noise,3,2,1,0,0.0,0,1,0.0,2,600,2480,0,0,0,0,0,0,0
development,libero_goal_ood,random_noise,3,3,1,0,0.0,0,1,0.0,3,900,3080,0,0,0,0,0,0,0
development,libero_goal_ood,oracle_tei,2,1,1,0,0.0,0,1,0.0,1,300,1880,0,0,0,0,0,0,0
development,libero_goal_ood,oracle_tei,2,2,1,1,1.0,1,1,1.0,2,380,2040,0,0,0,0,0,0,0
development,libero_goal_ood,oracle_tli,2,1,1,0,0.0,0,1,0.0,1,300,1880,0,0,0,0,0,0,0
development,libero_goal_ood,oracle_tli,2,2,1,1,1.0,1,1,1.0,2,386,2060,0,0,0,0,0,0,0
development,libero_goal_ood,oracle_tei_tli,2,1,1,0,0.0,0,1,0.0,1,300,1880,0,0,0,0,0,0,0
development,libero_goal_ood,oracle_tei_tli,2,2,1,1,1.0,1,1,1.0,2,386,2060,0,0,0,0,0,0,0
development,libero_goal_ood,astra_tei,3,1,1,0,0.0,0,1,0.0,1,300,1880,0,0,0,0,0,0,0
development,libero_goal_ood,astra_tei,3,2,1,0,0.0,0,1,0.0,2,600,2480,12,0,76731,3055,79786,197,0
development,libero_goal_ood,astra_tei,3,3,1,0,0.0,0,1,0.0,3,900,3080,24,0,194669,6550,201219,574,0
development,libero_goal_ood,astra_tli,3,1,1,0,0.0,0,1,0.0,1,300,1880,0,0,0,0,0,0,0
development,libero_goal_ood,astra_tli,3,2,1,0,0.0,0,1,0.0,2,600,2480,12,0,79639,3722,83361,434,0
development,libero_goal_ood,astra_tli,3,3,1,1,1.0,1,1,1.0,3,704,2690,17,0,126716,5346,132062,577,0
development,libero_goal_ood,astra_tli_vision,3,1,1,0,0.0,0,1,0.0,1,300,1880,0,0,0,0,0,0,0
development,libero_goal_ood,astra_tli_vision,3,2,1,0,0.0,0,1,0.0,2,600,2480,12,0,80861,3978,84839,597,0
development,libero_goal_ood,astra_tli_vision,3,3,1,1,1.0,1,1,1.0,3,704,2690,17,0,128946,5692,134638,717,0
development,libero_spatial_ood,random_noise,3,1,2,0,0.0,0,2,0.0,2,600,3760,0,0,0,0,0,0,0
development,libero_spatial_ood,random_noise,3,2,2,0,0.0,0,2,0.0,4,1200,4960,0,0,0,0,0,0,0
development,libero_spatial_ood,random_noise,3,3,2,0,0.0,0,2,0.0,6,1800,6160,0,0,0,0,0,0,0
development,libero_spatial_ood,oracle_tei,2,1,2,0,0.0,0,2,0.0,2,600,3760,0,0,0,0,0,0,0
development,libero_spatial_ood,oracle_tei,2,2,2,0,0.0,0,2,0.0,4,1200,4960,0,0,0,0,0,0,0
development,libero_spatial_ood,oracle_tli,2,1,2,0,0.0,0,2,0.0,2,600,3760,0,0,0,0,0,0,0
