phase,group,arm,attempt_cap,up_to_attempts,cases,successes,success_rate,rescues,baseline_failed_cases,conditional_rescue_rate,attributed_rollouts,attributed_actions,attributed_velocity_evaluations,provider_calls,preflight_failures,input_tokens,output_tokens,total_tokens,reasoning_tokens,total_token_missing_calls
evaluation,pooled,random_noise,3,1,20,7,0.35,0,13,0.0,20,4674,34980,0,0,0,0,0,0,0
evaluation,pooled,random_noise,3,2,20,8,0.4,1,13,0.07692307692307693,33,8360,42360,0,0,0,0,0,0,0
evaluation,pooled,random_noise,3,3,20,9,0.45,2,13,0.15384615384615385,45,11801,49250,0,0,0,0,0,0,0
evaluation,pooled,oracle_tei,2,1,20,7,0.35,0,13,0.0,20,4674,34980,0,0,0,0,0,0,0
evaluation,pooled,oracle_tei,2,2,20,10,0.5,3,13,0.23076923076923078,33,7986,41620,0,0,0,0,0,0,0
evaluation,pooled,oracle_tli,2,1,20,7,0.35,0,13,0.0,20,4674,34980,0,0,0,0,0,0,0
evaluation,pooled,oracle_tli,2,2,20,12,0.6,5,13,0.38461538461538464,33,7587,40830,0,0,0,0,0,0,0
evaluation,pooled,oracle_tei_tli,2,1,20,7,0.35,0,13,0.0,20,4674,34980,0,0,0,0,0,0,0
evaluation,pooled,oracle_tei_tli,2,2,20,13,0.65,6,13,0.46153846153846156,33,7492,40640,0,0,0,0,0,0,0
evaluation,pooled,astra_tei,3,1,20,7,0.35,0,13,0.0,20,4674,34980,0,0,0,0,0,0,0
evaluation,pooled,astra_tei,3,2,20,8,0.4,1,13,0.07692307692307693,33,8354,42340,148,0,955166,41611,996777,4647,0
evaluation,pooled,astra_tei,3,3,20,11,0.55,4,13,0.3076923076923077,45,11368,48380,270,0,2172055,78653,2250708,8227,0
evaluation,pooled,astra_tli,3,1,20,7,0.35,0,13,0.0,20,4674,34980,0,0,0,0,0,0,0
evaluation,pooled,astra_tli,3,2,20,12,0.6,5,13,0.38461538461538464,33,7614,40890,121,0,764042,36607,800649,4342,0
evaluation,pooled,astra_tli,3,3,20,13,0.65,6,13,0.46153846153846156,41,9810,45290,209,0,1689098,68017,1757115,8656,0
evaluation,pooled,astra_tli_vision,3,1,20,7,0.35,0,13,0.0,20,4674,34980,0,0,0,0,0,0,0
evaluation,pooled,astra_tli_vision,3,2,20,13,0.65,6,13,0.46153846153846156,33,7511,40670,116,0,749470,37473,786943,4472,0
evaluation,pooled,astra_tli_vision,3,3,20,13,0.65,6,13,0.46153846153846156,40,9611,44870,200,0,1682636,67515,1750151,8077,0
evaluation,libero_goal_ood,random_noise,3,1,10,3,0.3,0,7,0.0,10,2423,17660,0,0,0,0,0,0,0
evaluation,libero_goal_ood,random_noise,3,2,10,4,0.4,1,7,0.14285714285714285,17,4309,21440,0,0,0,0,0,0,0
