episode,start,end,frames,task
2025-12-30-01-47-21-674000,0,1296,1296,fold_clothes
2025-12-31-16-15-56-557000,0,1520,1520,fold_clothes
2025-12-31-16-17-03-090000,0,1841,1841,fold_clothes
2025-12-31-16-18-01-294000,0,1278,1278,fold_clothes
2025-12-31-16-18-49-882000,0,1359,1359,fold_clothes
2025-12-31-16-19-51-954000,0,1586,1586,fold_clothes
2025-12-31-16-21-31-259000,0,1537,1537,fold_clothes
2025-12-31-16-22-17-919000,0,1382,1382,fold_clothes
2025-12-31-16-23-08-516000,0,1271,1271,fold_clothes
2025-12-31-16-24-12-510000,0,1824,1824,fold_clothes
2025-12-31-16-24-58-374000,0,1367,1367,fold_clothes
2025-12-31-16-32-00-404000,0,1470,1470,fold_clothes
2025-12-31-16-37-01-246000,0,1144,1144,fold_clothes
2025-12-31-16-41-23-164000,0,867,867,fold_clothes
2025-12-31-16-42-36-085000,0,1252,1252,fold_clothes
2025-12-31-16-44-57-763000,0,1016,1016,fold_clothes
2025-12-31-16-45-46-912000,0,864,864,fold_clothes
2025-12-31-16-46-38-640000,0,1405,1405,fold_clothes
2025-12-31-19-25-44-437000,0,978,978,fold_clothes
2025-12-31-19-26-29-696000,0,1080,1080,fold_clothes
2025-12-31-19-27-08-668000,0,891,891,fold_clothes
2025-12-31-19-41-01-197000,0,945,945,fold_clothes
2025-12-31-19-43-39-155000,0,1058,1058,fold_clothes
2025-12-31-19-45-45-986000,0,1165,1165,fold_clothes
2025-12-31-19-47-04-964000,0,985,985,fold_clothes
2025-12-31-19-48-10-784000,0,1432,1432,fold_clothes
2025-12-31-19-48-44-871000,0,832,832,fold_clothes
2025-12-31-19-50-55-417000,0,976,976,fold_clothes
2025-12-31-19-52-20-100000,0,2135,2135,fold_clothes
2025-12-31-19-53-33-625000,0,1029,1029,fold_clothes
2025-12-31-19-54-20-170000,0,944,944,fold_clothes
2025-12-31-19-55-25-355000,0,1714,1714,fold_clothes
2025-12-31-19-56-10-269000,0,949,949,fold_clothes
2025-12-31-19-58-11-274000,0,1232,1232,fold_clothes
2025-12-31-19-59-10-755000,0,767,767,fold_clothes
2025-12-31-20-01-01-221000,0,881,881,fold_clothes
2025-12-31-20-01-40-625000,0,996,996,fold_clothes
2025-12-31-20-08-42-097000,0,1076,1076,fold_clothes
2025-12-31-20-09-24-662000,0,845,845,fold_clothes
2025-12-31-20-11-01-016000,0,1151,1151,fold_clothes
2025-12-31-20-12-08-018000,0,877,877,fold_clothes
2025-12-31-20-12-56-544000,0,1170,1170,fold_clothes
2025-12-31-20-14-31-364000,0,1131,1131,fold_clothes
2025-12-31-20-15-18-258000,0,1354,1354,fold_clothes
2026-01-02-19-04-15-565000,0,1188,1188,fold_clothes
2026-01-02-19-04-44-103000,0,884,884,fold_clothes
2026-01-02-19-06-49-903000,0,1116,1116,fold_clothes
2026-01-02-19-07-24-888000,0,854,854,fold_clothes
2026-01-02-19-08-22-211000,0,1503,1503,fold_clothes
2026-01-02-19-09-01-575000,0,970,970,fold_clothes
2026-01-02-19-09-38-476000,0,1081,1081,fold_clothes
2026-01-02-19-10-33-171000,0,1705,1705,fold_clothes
2026-01-02-19-11-01-475000,0,1053,1053,fold_clothes
2026-01-02-19-11-51-832000,0,1578,1578,fold_clothes
2026-01-02-19-32-19-246000,0,1141,1141,fold_clothes
2026-01-02-19-33-25-221000,0,1174,1174,fold_clothes
2026-01-02-19-34-24-092000,0,1572,1572,fold_clothes
2026-01-02-19-35-09-679000,0,1332,1332,fold_clothes
2026-01-02-19-36-04-604000,0,1284,1284,fold_clothes
2026-01-02-19-37-22-588000,0,1394,1394,fold_clothes
2026-01-02-19-38-29-624000,0,1195,1195,fold_clothes
2026-01-02-19-39-39-617000,0,1269,1269,fold_clothes
2026-01-02-19-55-18-574000,0,1012,1012,fold_clothes
2026-01-02-19-57-28-007000,0,1060,1060,fold_clothes
2026-01-02-19-58-19-806000,0,1199,1199,fold_clothes
2026-01-02-19-59-00-087000,0,1250,1250,fold_clothes
2026-01-02-19-59-57-911000,0,1905,1905,fold_clothes
2026-01-02-20-00-31-301000,0,1054,1054,fold_clothes
2026-01-02-20-01-53-071000,0,1327,1327,fold_clothes
2026-01-02-20-04-59-665000,0,943,943,fold_clothes
2026-01-02-20-05-47-841000,0,1647,1647,fold_clothes
2026-01-02-20-06-20-591000,0,1120,1120,fold_clothes
2026-01-02-20-06-59-957000,0,1050,1050,fold_clothes
2026-01-02-20-12-58-813000,0,1001,1001,fold_clothes
2026-01-02-20-13-58-408000,0,1572,1572,fold_clothes
2026-01-02-20-14-36-242000,0,1204,1204,fold_clothes
2026-01-02-20-16-05-763000,0,1168,1168,fold_clothes
2026-01-02-20-17-14-311000,0,1386,1386,fold_clothes
2026-01-02-20-17-56-460000,0,1426,1426,fold_clothes
2026-01-02-20-18-29-245000,0,927,927,fold_clothes
2026-01-02-20-19-07-332000,0,854,854,fold_clothes
2026-01-02-20-19-53-417000,0,1262,1262,fold_clothes
2026-01-02-20-26-08-733000,0,1327,1327,fold_clothes
2026-01-02-20-26-56-307000,0,1261,1261,fold_clothes
2026-01-02-20-27-40-963000,0,1117,1117,fold_clothes
2026-01-02-20-28-26-487000,0,1159,1159,fold_clothes
2026-01-02-20-29-04-237000,0,934,934,fold_clothes
2026-01-02-20-30-02-085000,0,870,870,fold_clothes
2026-01-02-20-30-38-383000,0,977,977,fold_clothes
2026-01-02-20-31-14-879000,0,970,970,fold_clothes
2026-01-02-20-33-00-161000,0,1482,1482,fold_clothes
2026-01-02-20-34-55-983000,0,1351,1351,fold_clothes
2026-01-02-20-35-36-477000,0,1144,1144,fold_clothes
2026-01-02-20-36-21-353000,0,1483,1483,fold_clothes
2026-01-02-20-37-14-414000,0,1370,1370,fold_clothes
2026-01-02-20-38-08-885000,0,1449,1449,fold_clothes
2026-01-02-20-39-00-414000,0,1339,1339,fold_clothes
2026-01-02-20-39-43-011000,0,1439,1439,fold_clothes
2026-01-02-20-40-22-448000,0,1222,1222,fold_clothes
2026-01-02-20-41-15-153000,0,1270,1270,fold_clothes
